"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 30, 2019","878.80","883.25","886.50","871.75","-","-0.49%"
"Jul 31, 2019","868.60","879.00","883.00","866.10","-","-1.16%"
"Aug 01, 2019","856.85","868.55","868.60","845.70","-","-1.35%"
"Aug 02, 2019","848.20","856.70","861.70","845.30","-","-1.01%"
"Aug 04, 2019","848.95","848.25","851.60","848.00","-","0.09%"
"Aug 05, 2019","860.50","848.85","863.40","845.70","-","1.36%"
"Aug 06, 2019","855.55","860.50","861.05","847.20","-","-0.58%"
"Aug 07, 2019","868.85","855.40","873.40","849.60","-","1.55%"
"Aug 08, 2019","870.70","868.90","873.20","854.75","-","0.21%"
"Aug 09, 2019","864.35","871.10","871.85","861.40","-","-0.73%"
"Aug 11, 2019","864.50","864.45","865.10","863.30","-","0.02%"
"Aug 12, 2019","862.15","864.60","865.90","856.45","-","-0.27%"
"Aug 13, 2019","857.80","862.05","870.10","839.95","-","-0.50%"
"Aug 14, 2019","848.65","857.60","858.40","846.10","-","-1.07%"
"Aug 15, 2019","842.75","848.55","850.10","835.85","-","-0.70%"
"Aug 16, 2019","851.40","842.75","853.25","835.25","-","1.03%"
"Aug 18, 2019","851.90","851.35","853.35","850.90","-","0.06%"
"Aug 19, 2019","853.10","851.80","860.80","845.40","-","0.14%"
"Aug 20, 2019","850.15","853.00","858.50","847.15","-","-0.35%"
"Aug 21, 2019","855.95","850.10","859.05","842.60","-","0.68%"
"Aug 22, 2019","860.80","856.15","863.40","848.15","-","0.57%"
"Aug 23, 2019","860.25","860.90","872.15","852.50","-","-0.06%"
"Aug 25, 2019","864.10","860.95","864.75","859.35","-","0.45%"
"Aug 26, 2019","858.75","864.25","869.30","855.30","-","-0.62%"
"Aug 27, 2019","870.30","858.95","871.70","857.60","-","1.34%"
"Aug 28, 2019","901.80","870.45","911.85","868.40","-","3.62%"
"Aug 29, 2019","920.75","901.70","938.90","897.75","-","2.10%"
"Aug 30, 2019","936.60","920.75","944.15","915.95","-","1.72%"
"Sep 01, 2019","940.45","936.50","942.30","936.00","-","0.41%"
"Sep 02, 2019","933.25","940.10","942.30","928.10","-","-0.77%"
"Sep 03, 2019","964.50","933.20","969.95","930.05","-","3.35%"
"Sep 04, 2019","991.30","964.75","994.20","959.30","-","2.78%"
"Sep 05, 2019","962.20","991.70","1,000.80","946.85","-","-2.94%"
"Sep 06, 2019","953.30","963.45","967.40","929.65","-","-0.92%"
"Sep 08, 2019","950.45","953.85","960.10","947.40","-","-0.30%"
"Sep 09, 2019","946.10","950.20","964.65","945.40","-","-0.46%"
"Sep 10, 2019","934.85","946.20","947.65","930.95","-","-1.19%"
"Sep 11, 2019","948.15","934.55","948.30","933.95","-","1.42%"
"Sep 12, 2019","952.25","948.20","962.95","944.65","-","0.43%"
"Sep 13, 2019","950.65","952.45","966.70","948.50","-","-0.17%"
"Sep 15, 2019","958.75","950.65","959.50","950.65","-","0.85%"
"Sep 16, 2019","938.20","958.40","962.15","929.05","-","-2.14%"
"Sep 17, 2019","940.50","937.85","946.70","930.90","-","0.25%"
"Sep 18, 2019","925.30","940.50","944.90","922.60","-","-1.62%"
"Sep 19, 2019","940.25","924.85","943.90","924.10","-","1.62%"
"Sep 20, 2019","947.30","939.90","950.20","937.65","-","0.75%"
"Sep 22, 2019","950.90","944.10","951.70","944.10","-","0.38%"
"Sep 23, 2019","959.25","950.90","963.65","950.75","-","0.88%"
"Sep 24, 2019","957.05","959.55","963.85","948.75","-","-0.23%"
"Sep 25, 2019","928.30","957.30","958.95","923.75","-","-3.00%"
"Sep 26, 2019","932.80","928.10","937.75","926.30","-","0.48%"
"Sep 27, 2019","929.60","932.80","937.10","919.55","-","-0.34%"
"Sep 29, 2019","938.90","936.70","940.75","935.30","-","1.00%"
"Sep 30, 2019","892.15","938.80","940.65","880.30","-","-4.98%"
"Oct 01, 2019","884.35","891.60","893.80","879.40","-","-0.87%"
"Oct 02, 2019","893.90","884.15","897.90","875.55","-","1.08%"
"Oct 03, 2019","894.45","893.55","903.90","890.70","-","0.06%"
"Oct 04, 2019","885.45","894.20","895.10","876.85","-","-1.01%"
"Oct 06, 2019","884.90","885.50","887.70","883.95","-","-0.06%"
"Oct 07, 2019","881.85","884.50","893.80","879.40","-","-0.34%"
"Oct 08, 2019","899.05","881.95","899.20","881.50","-","1.95%"
"Oct 09, 2019","895.95","899.05","901.60","887.60","-","-0.34%"
"Oct 10, 2019","904.25","895.40","908.70","887.70","-","0.93%"
"Oct 11, 2019","901.00","904.25","911.40","889.00","-","-0.36%"
"Oct 13, 2019","897.65","899.50","900.75","896.10","-","-0.37%"
"Oct 14, 2019","898.60","897.60","906.05","894.50","-","0.11%"
"Oct 15, 2019","888.55","898.55","906.90","887.25","-","-1.12%"
"Oct 16, 2019","889.85","888.50","894.90","880.10","-","0.15%"
"Oct 17, 2019","891.70","889.70","894.20","884.50","-","0.21%"
"Oct 18, 2019","896.50","891.35","898.30","886.90","-","0.54%"
"Oct 20, 2019","895.45","894.75","896.80","894.30","-","-0.12%"
"Oct 21, 2019","891.60","895.45","902.75","888.70","-","-0.43%"
"Oct 22, 2019","896.70","891.80","897.85","888.20","-","0.57%"
"Oct 23, 2019","922.20","896.80","927.40","894.00","-","2.84%"
"Oct 24, 2019","927.20","922.50","936.80","921.85","-","0.54%"
"Oct 25, 2019","930.55","927.55","943.75","927.15","-","0.36%"
"Oct 27, 2019","930.95","930.70","931.10","929.60","-","0.04%"
"Oct 28, 2019","920.35","931.10","938.35","917.40","-","-1.14%"
"Oct 29, 2019","924.60","920.50","926.20","912.75","-","0.46%"
"Oct 30, 2019","928.05","924.95","931.85","918.40","-","0.37%"
"Oct 31, 2019","936.30","928.50","943.40","926.55","-","0.89%"
"Nov 01, 2019","954.65","936.60","959.45","933.45","-","1.96%"
"Nov 03, 2019","954.70","954.45","957.20","954.10","-","0.01%"
"Nov 04, 2019","939.30","955.50","959.90","936.20","-","-1.61%"
"Nov 05, 2019","932.25","939.65","943.50","928.50","-","-0.75%"
"Nov 06, 2019","932.30","932.20","936.80","926.20","-","0.01%"
"Nov 07, 2019","914.20","932.45","938.05","907.20","-","-1.94%"
"Nov 08, 2019","889.70","913.85","913.85","889.60","-","-2.68%"
"Nov 10, 2019","891.55","890.15","892.50","889.95","-","0.21%"
"Nov 11, 2019","877.20","890.80","894.90","875.80","-","-1.61%"
"Nov 12, 2019","874.05","876.90","883.00","867.85","-","-0.36%"
"Nov 13, 2019","876.10","873.70","879.60","869.65","-","0.23%"
"Nov 14, 2019","882.85","875.75","886.90","872.30","-","0.77%"
"Nov 15, 2019","892.40","882.70","898.70","877.10","-","1.08%"
"Nov 17, 2019","893.25","892.55","894.55","891.95","-","0.10%"
"Nov 18, 2019","897.10","893.55","901.90","881.15","-","0.43%"
"Nov 19, 2019","912.40","897.15","914.30","896.45","-","1.71%"
"Nov 20, 2019","919.80","912.60","922.00","908.80","-","0.81%"
"Nov 21, 2019","917.50","920.30","929.70","912.40","-","-0.25%"
"Nov 22, 2019","893.75","918.05","919.10","888.40","-","-2.59%"
"Nov 24, 2019","894.55","893.75","895.05","891.75","-","0.09%"
"Nov 25, 2019","898.45","894.60","903.00","892.60","-","0.44%"
"Nov 26, 2019","909.80","898.40","918.85","896.40","-","1.26%"
"Nov 27, 2019","899.50","909.90","910.50","891.30","-","-1.13%"
"Nov 28, 2019","895.55","899.40","899.60","891.00","-","-0.44%"
"Nov 29, 2019","898.10","895.20","904.20","894.15","-","0.28%"
"Dec 01, 2019","899.25","898.05","899.40","896.70","-","0.13%"
"Dec 02, 2019","900.40","899.50","906.25","892.80","-","0.13%"
"Dec 03, 2019","912.00","900.50","913.95","897.55","-","1.29%"
"Dec 04, 2019","900.05","912.40","918.35","896.75","-","-1.31%"
"Dec 05, 2019","898.70","900.00","903.80","886.50","-","-0.15%"
"Dec 06, 2019","897.90","898.00","903.55","892.85","-","-0.09%"
"Dec 08, 2019","898.10","898.45","899.10","896.40","-","0.02%"
"Dec 09, 2019","896.25","897.55","902.60","890.05","-","-0.21%"
"Dec 10, 2019","918.65","896.20","926.60","895.80","-","2.50%"
"Dec 11, 2019","941.40","919.35","947.40","917.70","-","2.48%"
"Dec 12, 2019","945.50","941.40","951.40","937.30","-","0.44%"
"Dec 13, 2019","930.60","946.45","947.50","925.00","-","-1.58%"
"Dec 15, 2019","928.55","930.60","931.10","928.30","-","-0.22%"
"Dec 16, 2019","931.15","928.90","938.20","928.05","-","0.28%"
"Dec 17, 2019","929.05","931.25","936.80","921.30","-","-0.23%"
"Dec 18, 2019","935.80","929.10","938.90","925.40","-","0.73%"
"Dec 19, 2019","936.40","936.90","941.30","928.25","-","0.06%"
"Dec 20, 2019","912.15","936.95","939.85","910.80","-","-2.59%"
"Dec 22, 2019","918.85","912.25","919.00","911.60","-","0.73%"
"Dec 23, 2019","932.50","919.00","941.20","913.55","-","1.49%"
"Dec 24, 2019","945.60","932.70","948.15","929.55","-","1.40%"
"Dec 25, 2019","943.00","945.60","947.15","941.80","-","-0.27%"
"Dec 26, 2019","949.10","944.10","963.50","941.25","-","0.65%"
"Dec 27, 2019","947.35","950.35","956.40","943.95","-","-0.18%"
"Dec 29, 2019","956.00","953.15","956.50","951.90","-","0.91%"
"Dec 30, 2019","964.75","956.90","967.90","954.50","-","0.92%"
"Dec 31, 2019","971.90","965.65","990.50","965.20","-","0.74%"
"Jan 01, 2020","975.50","973.55","976.60","972.65","-","0.37%"
"Jan 02, 2020","986.90","976.15","998.25","972.00","-","1.17%"
"Jan 03, 2020","988.55","987.40","1,001.15","985.00","-","0.17%"
"Jan 05, 2020","989.30","988.55","997.35","988.55","-","0.08%"
"Jan 06, 2020","969.35","989.95","998.90","960.70","-","-2.02%"
"Jan 07, 2020","977.75","969.35","981.60","961.65","-","0.87%"
"Jan 08, 2020","961.00","977.75","982.05","957.40","-","-1.71%"
"Jan 09, 2020","973.60","960.90","976.40","952.85","-","1.31%"
"Jan 10, 2020","984.30","974.05","988.50","967.35","-","1.10%"
"Jan 12, 2020","981.75","984.25","984.85","980.60","-","-0.26%"
"Jan 13, 2020","980.60","983.10","984.60","969.15","-","-0.12%"
"Jan 14, 2020","989.25","981.20","990.55","970.25","-","0.88%"
"Jan 15, 2020","1,031.50","989.90","1,031.50","988.90","-","4.27%"
"Jan 16, 2020","1,015.30","1,032.25","1,046.55","999.60","-","-1.57%"
"Jan 17, 2020","1,027.05","1,015.65","1,033.40","1,008.60","-","1.16%"
"Jan 19, 2020","1,030.50","1,028.05","1,031.50","1,024.70","-","0.34%"
"Jan 20, 2020","1,026.30","1,031.40","1,034.75","1,013.60","-","-0.41%"
"Jan 21, 2020","1,000.80","1,026.60","1,030.45","993.85","-","-2.48%"
"Jan 22, 2020","1,022.60","1,000.90","1,023.70","995.85","-","2.18%"
"Jan 23, 2020","1,009.05","1,022.65","1,025.35","1,001.15","-","-1.33%"
"Jan 24, 2020","1,010.25","1,009.00","1,021.90","1,004.25","-","0.12%"
"Jan 26, 2020","1,004.05","1,010.55","1,015.05","1,003.10","-","-0.61%"
"Jan 27, 2020","991.30","1,003.80","1,005.80","987.40","-","-1.27%"
"Jan 28, 2020","990.70","991.10","996.80","983.65","-","-0.06%"
"Jan 29, 2020","982.50","990.80","1,000.25","974.25","-","-0.83%"
"Jan 30, 2020","981.85","982.50","985.00","965.55","-","-0.07%"
"Jan 31, 2020","962.65","981.30","986.90","959.55","-","-1.96%"
"Feb 02, 2020","968.25","962.65","969.50","961.30","-","0.58%"
"Feb 03, 2020","971.30","967.45","976.10","954.30","-","0.32%"
"Feb 04, 2020","966.65","971.10","985.20","960.95","-","-0.48%"
"Feb 05, 2020","984.20","966.85","989.30","963.50","-","1.82%"
"Feb 06, 2020","968.90","984.20","991.65","963.30","-","-1.55%"
"Feb 07, 2020","970.15","968.80","978.70","961.15","-","0.13%"
"Feb 09, 2020","970.00","970.15","972.60","969.15","-","-0.02%"
"Feb 10, 2020","965.45","970.05","978.00","956.40","-","-0.47%"
"Feb 11, 2020","971.75","965.35","977.00","962.85","-","0.65%"
"Feb 12, 2020","963.95","971.80","975.05","957.25","-","-0.80%"
"Feb 13, 2020","972.00","963.75","977.55","963.45","-","0.84%"
"Feb 14, 2020","967.40","971.90","979.10","965.75","-","-0.47%"
"Feb 16, 2020","969.35","967.30","969.50","966.80","-","0.20%"
"Feb 17, 2020","973.10","969.10","975.35","967.50","-","0.39%"
"Feb 18, 2020","995.80","973.05","996.30","972.00","-","2.33%"
"Feb 19, 2020","1,010.85","995.75","1,020.90","995.20","-","1.51%"
"Feb 20, 2020","986.05","1,010.25","1,010.65","974.55","-","-2.45%"
"Feb 21, 2020","976.75","985.65","990.80","972.90","-","-0.94%"
"Feb 23, 2020","977.45","976.75","981.70","975.65","-","0.07%"
"Feb 24, 2020","966.15","976.90","979.90","961.40","-","-1.16%"
"Feb 25, 2020","935.70","965.90","972.10","922.75","-","-3.15%"
"Feb 26, 2020","911.40","935.65","937.70","908.90","-","-2.60%"
"Feb 27, 2020","903.65","911.45","924.80","898.60","-","-0.85%"
"Feb 28, 2020","866.35","903.45","903.90","847.85","-","-4.13%"
"Mar 01, 2020","852.95","866.30","866.30","851.20","-","-1.55%"
"Mar 02, 2020","868.80","852.85","885.20","851.25","-","1.86%"
"Mar 03, 2020","878.25","868.70","882.85","859.50","-","1.09%"
"Mar 04, 2020","875.70","877.95","889.35","866.70","-","-0.29%"
"Mar 05, 2020","872.95","875.70","875.90","856.65","-","-0.31%"
"Mar 06, 2020","904.35","872.85","905.80","855.15","-","3.60%"
"Mar 08, 2020","899.70","904.10","915.85","896.00","-","-0.51%"
"Mar 09, 2020","872.20","899.70","900.70","860.90","-","-3.06%"
"Mar 10, 2020","873.50","872.40","892.05","866.80","-","0.15%"
"Mar 11, 2020","863.20","873.50","886.60","861.90","-","-1.18%"
"Mar 12, 2020","762.65","863.25","868.50","750.45","-","-11.65%"
"Mar 13, 2020","763.30","763.10","818.05","738.00","-","0.09%"
"Mar 15, 2020","757.90","763.25","774.90","743.50","-","-0.71%"
"Mar 16, 2020","666.15","757.85","769.85","562.00","-","-12.11%"
"Mar 17, 2020","669.00","666.80","717.90","600.00","-","0.43%"
"Mar 18, 2020","642.10","669.00","680.80","603.50","-","-4.02%"
"Mar 19, 2020","595.20","642.15","644.90","585.30","-","-7.30%"
"Mar 20, 2020","611.40","596.05","639.80","595.15","-","2.72%"
"Mar 22, 2020","606.00","612.00","615.40","594.70","-","-0.88%"
"Mar 23, 2020","665.15","606.00","666.00","606.00","-","9.76%"
"Mar 24, 2020","734.60","665.20","734.75","655.50","-","10.44%"
"Mar 25, 2020","733.60","734.60","747.80","708.50","-","-0.14%"
"Mar 26, 2020","741.15","734.00","744.00","705.00","-","1.03%"
"Mar 27, 2020","738.40","741.20","755.50","727.20","-","-0.37%"
"Mar 29, 2020","741.90","740.10","745.10","733.00","-","0.47%"
"Mar 30, 2020","723.70","741.90","744.00","710.90","-","-2.45%"
"Mar 31, 2020","718.65","723.90","737.15","716.30","-","-0.70%"
"Apr 01, 2020","719.10","718.10","727.50","701.60","-","0.06%"
"Apr 02, 2020","729.15","719.60","734.50","713.25","-","1.40%"
"Apr 03, 2020","724.60","729.15","730.50","711.20","-","-0.62%"
"Apr 05, 2020","724.70","718.75","726.25","718.75","-","0.01%"
"Apr 06, 2020","746.45","725.15","750.40","723.65","-","3.00%"
"Apr 07, 2020","738.70","746.65","749.80","732.25","-","-1.04%"
"Apr 08, 2020","736.45","738.20","759.60","725.90","-","-0.30%"
"Apr 09, 2020","751.50","736.30","757.10","731.90","-","2.04%"
"Apr 10, 2020","751.80","751.80","751.80","751.80","-","0.04%"
"Apr 12, 2020","749.00","751.65","756.30","744.60","-","-0.37%"
"Apr 13, 2020","754.30","748.55","756.00","742.25","-","0.71%"
"Apr 14, 2020","819.20","753.85","837.90","753.60","-","8.60%"
"Apr 15, 2020","801.45","818.75","831.65","796.40","-","-2.17%"
"Apr 16, 2020","805.50","801.30","820.30","780.30","-","0.51%"
"Apr 17, 2020","791.25","805.45","811.20","784.60","-","-1.77%"
"Apr 19, 2020","786.45","791.85","792.20","785.45","-","-0.61%"
"Apr 20, 2020","788.60","786.70","802.80","785.45","-","0.27%"
"Apr 21, 2020","757.90","788.65","791.35","716.80","-","-3.89%"
"Apr 22, 2020","768.90","758.15","778.20","750.20","-","1.45%"
"Apr 23, 2020","791.30","768.90","814.30","766.80","-","2.91%"
"Apr 24, 2020","781.25","791.30","794.50","764.70","-","-1.27%"
"Apr 26, 2020","780.10","777.90","782.60","776.30","-","-0.15%"
"Apr 27, 2020","776.65","780.20","788.20","767.70","-","-0.44%"
"Apr 28, 2020","794.30","776.65","801.45","771.30","-","2.27%"
"Apr 29, 2020","810.65","795.35","828.00","794.80","-","2.06%"
"Apr 30, 2020","805.50","810.30","823.05","787.70","-","-0.64%"
"May 01, 2020","778.60","805.70","814.20","770.00","-","-3.34%"
"May 03, 2020","768.35","774.85","779.50","762.50","-","-1.32%"
"May 04, 2020","780.30","768.10","789.00","760.50","-","1.56%"
"May 05, 2020","781.55","780.30","788.30","769.50","-","0.16%"
"May 06, 2020","764.75","781.50","785.30","757.75","-","-2.15%"
"May 07, 2020","781.50","764.85","784.90","764.70","-","2.19%"
"May 08, 2020","791.05","781.55","800.90","779.70","-","1.22%"
"May 10, 2020","796.20","790.30","796.20","788.80","-","0.65%"
"May 11, 2020","781.00","796.20","800.75","774.30","-","-1.91%"
"May 12, 2020","768.20","780.70","791.10","768.20","-","-1.64%"
"May 13, 2020","776.45","768.70","781.50","767.60","-","1.07%"
"May 14, 2020","785.60","776.40","792.30","769.50","-","1.18%"
"May 15, 2020","821.45","785.60","822.35","780.95","-","4.56%"
"May 17, 2020","841.30","820.65","844.25","820.65","-","2.42%"
"May 18, 2020","862.50","842.10","876.65","836.55","-","2.52%"
"May 19, 2020","893.55","862.50","897.00","849.00","-","3.60%"
"May 20, 2020","931.75","893.50","943.00","893.45","-","4.28%"
"May 21, 2020","869.30","932.00","932.00","851.30","-","-6.70%"
"May 22, 2020","886.60","869.30","900.50","848.40","-","1.99%"
"May 24, 2020","885.50","887.00","887.00","881.50","-","-0.12%"
"May 25, 2020","895.10","885.90","897.00","872.00","-","1.08%"
"May 26, 2020","869.90","895.00","911.60","864.00","-","-2.82%"
"May 27, 2020","879.30","869.80","883.15","860.40","-","1.08%"
"May 28, 2020","863.45","879.15","891.90","856.95","-","-1.80%"
"May 29, 2020","873.10","863.65","885.30","847.20","-","1.12%"
"May 31, 2020","877.20","875.55","877.80","873.25","-","0.47%"
"Jun 01, 2020","900.30","877.20","906.55","865.60","-","2.63%"
"Jun 02, 2020","872.70","900.30","908.50","855.30","-","-3.07%"
"Jun 03, 2020","858.15","872.70","872.70","851.60","-","-1.67%"
"Jun 04, 2020","866.15","858.20","871.60","845.95","-","0.93%"
"Jun 05, 2020","834.50","866.10","872.30","818.65","-","-3.65%"
"Jun 07, 2020","835.80","829.00","837.20","828.35","-","0.16%"
"Jun 08, 2020","864.05","835.85","868.75","835.65","-","3.38%"
"Jun 09, 2020","859.95","864.10","868.05","842.05","-","-0.47%"
"Jun 10, 2020","850.00","859.85","870.45","838.05","-","-1.16%"
"Jun 11, 2020","812.55","850.00","857.20","811.60","-","-4.41%"
"Jun 12, 2020","820.40","812.65","844.65","808.70","-","0.97%"
"Jun 14, 2020","816.80","825.50","826.50","815.85","-","-0.44%"
"Jun 15, 2020","831.05","816.80","832.15","792.75","-","1.74%"
"Jun 16, 2020","841.25","831.10","847.70","822.35","-","1.23%"
"Jun 17, 2020","833.80","841.00","845.55","825.65","-","-0.89%"
"Jun 18, 2020","814.70","833.65","837.60","805.90","-","-2.29%"
"Jun 19, 2020","824.60","814.70","849.60","810.60","-","1.22%"
"Jun 21, 2020","826.75","834.85","834.85","826.10","-","0.26%"
"Jun 22, 2020","844.50","826.80","857.60","823.00","-","2.15%"
"Jun 23, 2020","843.85","844.50","849.10","828.40","-","-0.08%"
"Jun 24, 2020","796.95","844.35","847.90","795.25","-","-5.56%"
"Jun 25, 2020","809.40","797.00","811.40","790.65","-","1.56%"
"Jun 26, 2020","804.00","809.35","812.10","793.90","-","-0.67%"
"Jun 28, 2020","815.50","816.00","821.60","815.50","-","1.43%"
"Jun 29, 2020","832.30","815.60","832.75","815.30","-","2.06%"
"Jun 30, 2020","852.60","832.50","855.75","822.90","-","2.44%"
"Jul 01, 2020","836.45","852.80","864.45","821.35","-","-1.89%"
"Jul 02, 2020","827.65","836.60","845.30","824.55","-","-1.05%"
"Jul 03, 2020","825.80","827.75","830.55","819.25","-","-0.22%"
"Jul 05, 2020","826.75","823.70","827.45","823.70","-","0.12%"
"Jul 06, 2020","842.60","826.65","854.25","823.20","-","1.92%"
"Jul 07, 2020","861.60","842.70","866.25","829.35","-","2.25%"
"Jul 08, 2020","881.70","861.65","888.25","860.40","-","2.33%"
"Jul 09, 2020","853.55","881.60","892.00","842.15","-","-3.19%"
"Jul 10, 2020","841.50","853.55","863.00","840.35","-","-1.41%"
"Jul 12, 2020","844.80","843.15","848.60","843.15","-","0.39%"
"Jul 13, 2020","849.90","844.80","870.20","844.80","-","0.60%"
